3,2,1,1,240,850,610,810,930,0
1,1,2,1,930,380,730,180,900,1
4,1,2,1,830,670,920,140,960,0
4,2,2,1,460,580,920,730,880,0
3,1,1,1,480,470,630,930,1000,0
2,2,1,1,910,370,380,620,230,1
4,1,2,1,880,420,570,510,210,1
1,1,2,1,930,750,600,120,600,1
3,1,1,1,370,660,120,650,550,0
3,2,1,1,660,370,150,520,510,1
1,2,1,1,900,230,360,670,290,1
1,2,2,1,470,860,640,730,950,0
4,2,2,1,180,800,600,620,590,0
4,1,2,1,860,140,660,620,600,1
4,2,2,1,910,670,280,330,720,1
3,2,2,1,580,960,600,160,800,0
4,2,2,1,540,910,910,830,480,0
3,2,1,1,990,130,200,120,860,1
4,2,2,1,720,870,390,250,760,0
3,2,2,1,600,450,700,560,570,1
3,1,1,1,490,560,370,790,300,0
3,2,2,1,880,850,520,260,130,1
4,2,2,1,870,790,780,440,970,0
1,2,1,1,270,690,840,760,760,0
1,1,1,1,180,720,700,450,630,0
1,1,2,1,920,310,850,220,870,1
2,1,2,1,910,340,440,490,180,1
2,1,1,1,920,930,630,730,820,0
1,2,1,1,470,730,260,590,260,0
2,2,1,1,450,330,750,960,290,0
2,1,2,1,930,320,660,580,470,1
2,1,2,1,330,420,710,950,420,0
4,1,2,1,450,210,330,250,410,1
4,1,1,1,380,190,150,760,140,0
4,1,2,1,530,310,950,720,430,0
3,1,2,1,970,430,230,840,570,1
1,2,1,1,520,840,500,750,470,0
2,2,2,1,240,730,420,630,450,0
3,1,1,1,290,670,190,580,610,0
3,1,2,1,400,340,170,860,230,0
1,1,1,1,120,870,150,690,200,0
4,2,1,1,150,450,160,880,320,0
2,2,1,1,740,500,980,620,640,0
1,2,2,1,500,910,500,150,180,0
2,2,1,1,840,570,440,470,680,1
1,1,1,1,280,750,420,950,240,0
4,2,1,1,490,850,320,600,180,0
4,2,2,1,760,400,260,610,690,1
1,1,2,1,230,410,660,600,320,0
4,1,1,1,630,710,680,400,600,0
4,1,2,1,360,440,700,820,700,0
1,2,2,1,570,490,420,340,290,1
1,2,1,1,340,440,890,600,480,0
2,1,1,1,880,110,360,470,270,1
4,2,1,1,160,180,480,790,250,0
4,1,1,1,410,310,170,960,630,0
3,1,1,1,390,140,590,750,670,0
4,1,1,1,850,780,780,190,720,1
1,2,2,1,1000,680,930,160,270,1
2,1,2,1,320,530,870,710,510,0
4,2,2,1,990,260,280,980,860,1
2,1,2,1,660,120,290,560,820,0
1,1,2,1,640,720,680,950,400,0
3,1,1,1,550,110,390,310,510,1
2,1,1,1,110,690,590,790,570,0
3,2,1,1,1000,960,900,110,510,1
4,1,1,1,840,530,860,480,150,0
2,1,2,1,960,360,190,520,110,1
3,1,1,1,830,340,720,520,340,1
2,1,1,2,380,220,870,600,180,0
1,1,1,2,740,870,970,540,980,1
1,1,2,2,860,590,190,320,830,0
4,1,1,2,390,450,590,260,640,1
3,2,1,2,760,880,920,770,260,0
1,1,1,2,390,610,540,290,1000,1
2,1,1,2,580,480,230,220,920,1
2,1,2,2,810,670,220,260,760,0
4,2,1,2,720,190,290,940,690,0
1,1,2,2,720,110,960,760,970,1
3,2,2,2,980,480,310,980,210,0
4,1,1,2,280,340,290,240,690,1
4,2,1,2,390,200,730,670,340,0
4,1,1,2,530,300,860,650,910,1
3,2,2,2,180,270,780,320,650,0
3,1,1,2,770,720,280,630,800,1
3,2,2,2,680,810,410,620,850,1
4,2,1,2,330,420,410,970,620,0
1,2,2,2,870,950,360,850,210,0
3,1,2,2,530,530,670,120,790,1
3,2,2,2,470,590,710,580,890,1
2,1,2,2,770,300,930,940,1000,1
2,2,1,2,630,450,400,630,510,0
4,2,1,2,740,370,380,310,520,0
2,1,2,2,200,390,160,210,920,1
4,2,2,2,510,130,180,250,810,1
3,1,2,2,970,840,270,340,380,0
1,1,2,2,910,540,640,640,290,0
1,1,1,2,460,690,110,680,790,1
2,2,2,2,190,310,430,960,920,0
2,2,1,2,670,250,280,610,720,1
1,2,1,2,1000,640,590,910,340,0
4,2,2,2,430,830,120,470,910,1
2,2,1,2,710,410,670,320,260,0
2,2,1,2,500,550,210,220,770,1
3,1,1,2,110,790,580,280,800,1
2,2,1,2,460,140,520,450,970,1
1,1,2,2,740,290,520,980,760,0
1,2,1,2,450,680,410,200,910,1
3,2,1,2,620,600,470,560,930,1
2,1,1,2,460,430,440,190,620,1
4,1,1,2,580,820,420,150,150,0
2,1,1,2,680,850,580,200,490,0
4,2,2,2,770,510,470,470,300,0
1,1,2,2,140,360,190,650,770,1
3,1,2,2,880,420,130,380,180,0
3,2,2,2,440,860,350,880,950,1
3,1,2,2,440,650,770,840,330,0
1,2,1,2,240,280,220,750,270,0
3,2,2,2,380,350,230,760,690,0
1,1,1,2,410,930,180,120,980,1
3,1,1,2,500,470,940,850,830,0
3,1,1,2,420,590,500,530,760,1
